Year	Month	MXSD	TSNW	TPCP	MNTM
1951	8	0	152	601	112
1951	9	0	0	1656	116
1951	10	813	865	2101	65
1951	11	1702	353	1381	2
1951	12	NaN	NaN	NaN	NaN
1952	1	NaN	NaN	NaN	NaN
1952	2	NaN	NaN	NaN	NaN
1952	3	NaN	NaN	NaN	NaN
1952	4	4902	571	625	31
1952	5	3886	389	510	54
1952	6	2337	140	902	60
1952	7	711	0	81	133
1952	8	0	0	452	125
1952	9	0	0	282	120
1952	10	0	76	371	182
1952	11	254	266	456	20
1952	12	1524	813	1659	-33
1953	1	3150	NaN	NaN	NaN
1953	2	4013	NaN	NaN	NaN
1953	3	NaN	NaN	NaN	NaN
1953	4	4902	89	NaN	-9
1953	5	4115	545	1229	39
1953	6	3277	25	913	44
1953	7	1905	0	388	111
1953	8	0	0	1195	117
1953	9	0	25	144	121
1953	10	127	114	1699	63
1953	11	660	1422	2953	9
1953	12	2591	978	NaN	-30
1954	1	4978	NaN	NaN	-54
1954	2	5613	NaN	NaN	NaN
1954	3	5715	NaN	NaN	-22
1954	4	6502	NaN	NaN	-1
1954	5	5588	NaN	NaN	57
1954	6	3353	165	1819	45
1954	7	3023	0	705	98
1954	8	0	0	696	79
1954	9	0	0	1102	82
1954	10	152	309	1511	53
1954	11	559	1130	3537	24
1954	12	2286	3765	3991	-15
1955	1	2794	2562	2043	-29
1955	2	4394	3327	1867	-43
1955	3	5791	3645	2146	-42
1955	4	6172	2950	2054	-21
1955	5	5842	701	1187	25
1955	6	4877	102	1006	73
1955	7	2819	59	1274	91
1955	8	406	0	27	114
1955	9	51	186	1688	90
1955	10	762	1250	4349	46
1955	11	2261	1854	582	-3
1955	12	3454	2870	4108	-42
1956	1	5182	5143	4471	-53
1956	2	6350	3785	3201	-52
1956	3	9322	4762	4121	-36
1956	4	8331	673	814	13
1956	5	6579	165	281	65
1956	6	4826	242	1473	44
1956	7	3251	0	359	110
1956	8	0	13	822	98
1956	9	0	0	1468	90
1956	10	1219	1962	3190	19
1956	11	1372	1018	1273	31
1956	12	2184	2733	6267	-6
1957	1	3099	2780	2173	-68
1957	2	4013	2742	3475	-20
1957	3	4724	3123	3803	-15
1957	4	4648	1066	1775	18
1957	5	4115	38	740	72
1957	6	2134	0	1551	76
1957	7	NaN	NaN	775	96
1957	8	NaN	NaN	964	97
1957	9	NaN	NaN	584	124
1957	10	229	596	2917	40
1957	11	1067	1930	3073	9
1957	12	3200	4253	5414	-18
1958	1	4089	2975	3788	-3
1958	2	4445	2094	3535	2
1958	3	4318	1354	1250	-20
1958	4	5004	1918	2959	7
1958	5	4470	89	582	91
1958	6	2159	0	1211	101
1958	7	0	0	96	154
1958	8	0	0	348	143
1958	9	0	0	1993	76
1958	10	229	254	2732	70
1958	11	2007	2578	8169	-9
1958	12	1727	1536	4189	-1
1959	1	3581	4381	6177	-34
1959	2	4267	2680	2224	-42
1959	3	5207	3198	3196	-25
1959	4	4877	965	2737	11
1959	5	4496	509	911	28
1959	6	3404	206	1235	69
1959	7	1168	8	239	133
1959	8	0	0	667	101
1959	9	102	102	4880	66
1959	10	279	456	4804	49
1959	11	1067	1423	6236	18
1959	12	1473	1679	3868	-11
1960	1	2337	2096	2908	-49
1960	2	3277	2286	3387	-42
1960	3	3962	3125	3460	-3
1960	4	4216	2033	2747	15
1960	5	3708	1041	2850	29
1960	6	3200	89	898	78
1960	7	737	0	123	146
1960	8	0	38	1373	94
1960	9	0	0	1175	111
1960	10	305	564	3350	58
1960	11	2184	3480	6161	-12
1960	12	2388	1751	3000	6
1961	1	2997	2073	4632	9
1961	2	5080	5057	7414	-23
1961	3	5766	2117	3845	-15
1961	4	5283	1652	2981	-1
1961	5	5232	558	1570	40
1961	6	3810	0	473	114
1961	7	1219	0	270	133
1961	8	0	0	662	153
1961	9	102	152	1279	65
1961	10	686	1283	3118	41
1961	11	1372	1564	3405	-11
1961	12	2870	3226	5310	-44
1962	1	2972	1244	3583	-26
1962	2	3734	1599	1473	-20
1962	3	4623	3250	2903	-27
1962	4	4039	1053	2490	24
1962	5	3937	291	1415	11
1962	6	3226	152	628	71
1962	7	1219	13	335	108
1962	8	0	0	1704	102
1962	9	25	0	1628	113
1962	10	838	915	2271	60
1962	11	1346	2513	5799	4
1962	12	1600	1117	3371	7
1963	1	1930	1067	1834	-42
1963	2	2235	901	3674	20
1963	3	3429	3008	3127	-16
1963	4	3353	1436	2708	-7
1963	5	3454	508	790	47
1963	6	1778	0	873	62
1963	7	0	0	765	85
1963	8	0	0	503	122
1963	9	0	0	808	128
1963	10	508	762	2306	49
1963	11	1676	2203	4116	-9
1963	12	2134	1843	3017	8
1964	1	4978	6602	6978	-43
1964	2	5029	1347	1885	-16
1964	3	6020	2286	2814	-30
1964	4	5690	1308	1731	-13
1964	5	5639	354	881	26
1964	6	4420	5	1428	63
1964	7	2489	0	1001	110
1964	8	0	0	1678	90
1964	9	0	0	1561	69
1964	10	127	229	1594	70
1964	11	1372	2389	4492	-11
1964	12	3175	4269	6620	-64
1965	1	4115	4102	6199	-21
1965	2	4953	2541	3777	-24
1965	3	4877	736	563	-3
1965	4	4547	496	1582	20
1965	5	4343	812	1303	28
1965	6	2896	25	271	77
1965	7	610	0	394	132
1965	8	0	0	1675	121
1965	9	0	0	699	80
1965	10	229	355	1519	81
1965	11	787	1328	3082	6
1965	12	2362	2908	2955	-35
1966	1	3302	2589	3851	-33
1966	2	4064	2335	2630	-35
1966	3	5182	3327	3158	-10
1966	4	3962	711	1105	13
1966	5	NaN	NaN	NaN	NaN
1966	6	2794	210	664	57
1966	7	0	0	336	101
1966	8	0	0	310	116
1966	9	0	0	637	112
1966	10	737	902	2535	53
1966	11	1016	1729	3497	2
1966	12	2134	3060	4447	-21
1967	1	4597	5271	7375	-34
1967	2	5410	1931	3230	-16
1967	3	6502	3239	2685	-37
1967	4	6731	1295	1159	-15
1967	5	6807	152	559	45
1967	6	3861	0	537	103
1967	7	1143	0	0	120
1967	8	0	0	38	165
1967	9	0	0	821	126
1967	10	305	851	5945	32
1967	11	610	990	2485	12
1967	12	1626	2122	4988	-36
1968	1	2286	3061	4749	-40
1968	2	2667	1206	4193	14
1968	3	3302	2361	2469	-2
1968	4	3607	1802	1833	-6
1968	5	3200	304	526	40
1968	6	1372	51	475	73
1968	7	0	0	127	134
1968	8	0	0	866	92
1968	9	25	38	2207	89
1968	10	1092	2172	3467	27
1968	11	1473	2438	4895	-5
1968	12	4064	5692	4803	-63
1969	1	6096	5203	4377	-81
1969	2	6502	2134	1478	-47
1969	3	6477	1383	1319	-5
1969	4	4902	941	1152	6
1969	5	4140	177	1292	72
1969	6	1168	0	957	103
1969	7	0	0	347	103
1969	8	0	0	202	93
1969	9	0	0	1875	77
1969	10	254	647	1293	20
1969	11	356	762	792	26
1969	12	2286	3557	2459	-13
1970	1	3404	4876	3512	-33
1970	2	3861	2183	1556	-1
1970	3	3632	1245	1093	-30
1970	4	4445	2261	1907	-33
1970	5	4445	341	767	24
1970	6	3073	141	568	88
1970	7	305	0	226	106
1970	8	0	0	61	119
1970	9	25	51	1527	60
1970	10	889	1028	1918	40
1970	11	1626	2236	3671	-10
1970	12	3734	5337	4822	-50
1971	1	6020	6337	7744	-41
1971	2	5893	2730	3226	-24
1971	3	7036	5460	4030	-44
1971	4	6883	1397	1096	0
1971	5	6198	1309	1500	52
1971	6	5055	203	1336	45
1971	7	3581	76	424	129
1971	8	813	0	211	137
1971	9	203	229	1647	62
1971	10	864	1486	2183	25
1971	11	2134	3112	3795	-15
1971	12	3886	5765	5355	-52
1972	1	6706	7034	8084	-64
1972	2	6985	4040	6461	-21
1972	3	7315	2782	4577	-12
1972	4	7747	3644	4356	-23
1972	5	7493	204	565	59
1972	6	5309	127	1295	70
1972	7	3353	38	562	116
1972	8	711	0	247	134
1972	9	483	967	2332	57
1972	10	457	610	698	53
1972	11	914	1426	2838	-4
1972	12	2489	3556	6328	-61
1973	1	2616	2363	2981	-51
1973	2	2667	940	943	-11
1973	3	3302	2275	2210	-22
1973	4	3378	1268	1280	10
1973	5	3150	813	1181	51
1973	6	1626	420	1016	61
1973	7	0	0	0	117
1973	8	0	3	33	100
1973	9	0	0	950	84
1973	10	229	542	2682	25
1973	11	2261	4939	6072	-38
1973	12	3759	4340	6635	-18
1974	1	5359	4582	7826	-61
1974	2	6248	4153	4731	-32
1974	3	6985	3489	4880	-25
1974	4	7442	3101	3924	2
1974	5	7290	1825	2621	15
1974	6	6223	229	1243	91
1974	7	4013	0	789	100
1974	8	1676	0	210	124
1974	9	0	0	432	121
1974	10	51	115	508	66
1974	11	1270	2389	3906	-1
1974	12	3023	4142	7114	-31
1975	1	4801	4889	7519	-45
1975	2	5334	3417	4143	-48
1975	3	6071	3301	3332	-41
1975	4	5944	1497	1508	-21
1975	5	5842	838	1444	35
1975	6	4343	241	991	54
1975	7	2743	0	223	128
1975	8	0	0	1540	80
1975	9	0	0	29	111
1975	10	1118	2142	4862	12
1975	11	1981	3365	5251	-29
1975	12	2438	2314	7749	-16
1976	1	4572	4304	5718	-16
1976	2	5410	4050	4012	-31
1976	3	6401	3453	3841	-35
1976	4	6071	1463	1922	-6
1976	5	5258	331	751	37
1976	6	4191	266	1289	47
1976	7	2642	0	755	90
1976	8	0	0	1752	90
1976	9	0	0	589	112
1976	10	406	508	1519	55
1976	11	178	178	1781	31
1976	12	559	870	1915	3
1977	1	838	648	1840	-10
1977	2	1499	1551	2415	5
1977	3	3099	4611	5370	-41
1977	4	3200	915	1149	30
1977	5	2261	1205	1894	12
1977	6	1880	30	69	84
1977	7	0	0	235	86
1977	8	0	0	2037	143
1977	9	102	229	2615	56
1977	10	457	796	1593	38
1977	11	1448	2600	7467	-34
1977	12	2540	3033	7715	-27
1978	1	3175	2391	3211	-23
1978	2	3658	2191	2352	-16
1978	3	3861	1072	1619	4
1978	4	4166	1938	2332	0
1978	5	3658	848	2167	21
1978	6	3073	51	820	87
1978	7	914	0	577	111
1978	8	0	0	1439	103
1978	9	152	152	1512	61
1978	10	305	294	841	67
1978	11	914	1463	3551	-24
1978	12	2057	2874	4280	-76
1979	1	2591	1749	1946	-63
1979	2	4293	4773	5685	-51
1979	3	4216	818	2042	1
1979	4	4318	2496	2573	4
1979	5	3480	477	945	52
1979	6	2286	96	505	79
1979	7	584	271	1051	110
1979	8	0	0	1121	111
1979	9	0	0	1265	105
1979	10	584	1166	2777	63
1979	11	914	1199	1606	7
1979	12	1778	2470	6593	-10
1980	1	3505	4320	4538	-57
1980	2	3531	1854	4327	-7
1980	3	4293	3353	3512	-31
1980	4	4547	1436	1990	26
1980	5	3429	400	1108	34
1980	6	2210	158	1073	43
1980	7	0	0	455	99
1980	8	0	0	950	76
1980	9	0	0	1452	65
1980	10	25	62	611	53
1980	11	864	1573	5547	-16
1980	12	1956	2032	6123	1
1981	1	1118	648	1179	15
1981	2	2134	2412	4659	-18
1981	3	2540	1498	1942	-2
1981	4	3861	2807	4271	0
1981	5	2413	394	1390	29
1981	6	1372	312	2650	45
1981	7	51	89	873	93
1981	8	0	0	189	145
1981	9	152	205	1833	89
1981	10	229	548	3028	30
1981	11	1016	1908	2744	8
1981	12	2921	4657	6521	-43
1982	1	4470	4136	6006	-62
1982	2	5182	2603	2834	-55
1982	3	5639	2096	2408	-25
1982	4	6502	2692	2822	-14
1982	5	5436	279	458	32
1982	6	4013	39	335	96
1982	7	1092	0	699	99
1982	8	0	0	350	109
1982	9	25	33	1696	80
1982	10	533	1243	3333	35
1982	11	10693	3313	3230	-22
1982	12	2743	2933	3879	-38
1983	1	3429	2819	5449	-11
1983	2	4267	2693	3603	-19
1983	3	4674	2354	3359	-4
1983	4	4877	1051	1024	14
1983	5	4242	1081	1674	57
1983	6	2692	237	1444	55
1983	7	1372	0	1808	85
1983	8	0	0	320	118
1983	9	76	101	1076	59
1983	10	0	33	1060	45
1983	11	2159	4508	8198	-25
1983	12	2921	3033	3923	-80
1984	1	3048	1652	5398	-15
1984	2	3988	2502	3012	-14
1984	3	4420	2349	3287	-2
1984	4	5309	2682	1894	-10
1984	5	5055	1398	2993	13
1984	6	4216	230	1279	49
1984	7	2438	0	0	110
1984	8	0	0	70	106
1984	9	178	178	838	60
1984	10	737	1652	3001	10
1984	11	2718	3962	5327	-23
1984	12	4039	3847	4112	-55
1985	1	3759	234	307	7
1985	2	4318	3189	3322	-50
1985	3	5029	3163	3028	-20
1985	4	4826	1274	2030	12
1985	5	4216	318	638	44
1985	6	2794	0	1382	75
1985	7	381	0	28	151
1985	8	0	0	531	102
1985	9	25	13	1607	58
1985	10	305	1105	2874	11
1985	11	1651	3026	4005	-70
1985	12	1930	1080	1389	9
1986	1	2642	2618	4224	-6
1986	2	3454	2249	3973	-34
1986	3	3200	1527	2491	10
1986	4	3683	2174	2110	-11
1986	5	3632	1131	1464	43
1986	6	2311	25	406	108
1986	7	127	0	422	86
1986	8	0	0	171	160
1986	9	127	223	2277	61
1986	10	76	97	2102	83
1986	11	1727	3126	6552	-8
1986	12	2134	1879	2640	-8
1987	1	3124	3019	3131	-23
1987	2	3531	1921	2029	-11
1987	3	4039	2426	2876	-7
1987	4	3886	980	1792	35
1987	5	3200	445	1797	53
1987	6	1854	166	358	98
1987	7	0	0	685	101
1987	8	0	0	378	121
1987	9	51	51	607	119
1987	10	0	0	64	91
1987	11	914	1523	2948	9
1987	12	NaN	NaN	NaN	NaN
1988	1	2692	2555	3204	-38
1988	2	3302	1803	2831	-4
1988	3	4750	3632	4309	-16
1988	4	4928	2135	2739	21
1988	5	4318	1015	2092	39
1988	6	3048	115	748	75
1988	7	813	0	310	120
1988	8	0	0	259	112
