STATION	DATE	CLDD	DP01	DP05	DP10	DT00	DT32	DT90	DX32	HTDD	EMXP	MXSD	TPCP	TSNW	EMNT	EMXT	MMNT	MMXT	MNTM
GHCND:USC00456898	19270901	20	12	10	5	0	6	0	0	2451	945	102	3351	13	-33	256	30	109	73
GHCND:USC00456898	19271001	0	13	5	2	0	13	0	2	3423	1582	203	2978	224	-72	172	2	79	40
GHCND:USC00456898	19271101	0	23	17	10	0	27	0	13	5911	884	1499	6163	2143	-100	72	-41	13	-14
GHCND:USC00456898	19271201	0	15	11	4	2	31	0	20	6976	645	2438	3143	2209	-222	61	-89	-14	-50
GHCND:USC00456898	19280101	0	15	9	5	1	22	0	2	4350	889	2591	3900	859	-183	106	-46	37	-6
GHCND:USC00456898	19280201	0	9	2	0	0	25	0	5	5114	229	2769	876	952	-111	133	-41	44	0
GHCND:USC00456898	19280301	0	16	9	4	0	19	0	4	3742	1054	4115	3543	2033	-122	167	-46	44	-4
GHCND:USC00456898	19280401	0	16	6	4	0	27	0	3	4983	488	4699	2574	1307	-100	156	-44	55	5
GHCND:USC00456898	19280501	0	5	1	0	0	8	0	0	2660	163	4597	463	127	-67	222	21	141	81
GHCND:USC00456898	19280601	0	4	2	1	0	5	0	0	3177	300	2515	549	38	-28	239	16	106	61
GHCND:USC00456898	19280701	17	5	1	1	0	6	0	0	2974	254	737	568	-9999	-11	300	35	132	84
GHCND:USC00456898	19280801	0	4	0	0	0	0	0	0	1900	89	-9999	218	-9999	17	217	71	154	113
GHCND:USC00456898	19280901	0	1	0	0	0	0	0	0	113	30	-9999	30	-9999	17	211	93	204	155
GHCND:USC00456898	19281001	0	14	8	5	0	15	0	0	2974	671	203	3525	275	-44	144	4	87	48
GHCND:USC00456898	19281101	0	11	6	3	0	23	0	6	4680	879	787	2320	1163	-78	167	-21	40	10
GHCND:USC00456898	19281201	0	14	10	1	0	27	0	8	5349	330	2337	2294	2387	-122	133	-54	37	-8
GHCND:USC00456898	19290101	0	14	12	5	1	20	0	13	4278	457	3810	3190	3632	-200	83	-77	-10	-42
GHCND:USC00456898	19290201	0	10	4	1	2	24	0	14	5368	269	4623	1343	1829	-178	94	-84	3	-41
GHCND:USC00456898	19290301	0	17	6	1	0	27	0	9	5433	262	5258	2005	1611	-89	178	-44	36	-4
GHCND:USC00456898	19290401	0	18	4	2	0	25	0	9	5330	323	6045	1785	1740	-78	161	-37	36	-1
GHCND:USC00456898	19290501	0	7	1	0	0	10	0	0	3494	147	5029	465	295	-28	211	32	102	67
GHCND:USC00456898	19290601	0	9	3	2	0	9	0	1	3842	305	1981	1201	280	-33	167	22	88	55
GHCND:USC00456898	19290701	15	0	0	0	0	1	0	0	2257	0	787	0	0	-11	261	64	158	111
GHCND:USC00456898	19290801	57	3	0	0	0	0	0	0	1434	51	-9999	127	-9999	11	267	91	186	139
GHCND:USC00456898	19290901	144	4	1	0	0	9	0	0	2056	140	102	356	-9999	-33	272	69	170	119
GHCND:USC00456898	19291001	0	8	3	1	0	14	0	0	3934	284	51	1054	76	-50	167	9	103	56
GHCND:USC00456898	19291101	0	7	2	0	0	28	0	4	4949	211	203	717	254	-111	161	-25	61	18
