DATE	MXSD	TSNW
19640201	5029	1347
19640301	6020	2286
19640401	5690	1308
19640501	5639	354
19640601	4420	5
19640701	2489	0
19640801	0	0
19640901	0	0
19641001	127	229
19641101	1372	2389
19641201	3175	4269
19650101	4115	4102
19650201	4953	2541
19650301	4877	736
19650401	4547	496
19650501	4343	812
19650601	2896	25
19650701	610	0
19650801	0	0
19650901	0	0
19651001	229	355
19651101	787	1328
19651201	2362	2908
19660101	3302	2589
19660201	4064	2335
19660301	5182	3327
19660401	3962	711
19660601	2794	210
19660701	0	0
19660801	0	0
19660901	0	0
19661001	737	902
19661101	1016	1729
19661201	2134	3060
19670101	4597	5271
19670201	5410	1931
19670301	6502	3239
19670401	6731	1295
19670501	6807	152
19670601	3861	0
19670701	1143	0
19670801	0	0
19670901	0	0
19671001	305	851
19671101	610	990
19671201	1626	2122
19680101	2286	3061
19680201	2667	1206
19680301	3302	2361
19680401	3607	1802
19680501	3200	304
19680601	1372	51
19680701	0	0
19680801	0	0
19680901	25	38
19681001	1092	2172
19681101	1473	2438
19681201	4064	5692
19690101	6096	5203
19690201	6502	2134
19690301	6477	1383
19690401	4902	941
19690501	4140	177
19690601	1168	0
19690701	0	0
19690801	0	0
19690901	0	0
19691001	254	647
19691101	356	762
19691201	2286	3557
19700101	3404	4876
19700201	3861	2183
19700301	3632	1245
19700401	4445	2261
19700501	4445	341
19700601	3073	141
19700701	305	0
19700801	0	0
19700901	25	51
19701001	889	1028
19701101	1626	2236
19701201	3734	5337
19710101	6020	6337
19710201	5893	2730
19710301	7036	5460
19710401	6883	1397
19710501	6198	1309
19710601	5055	203
19710701	3581	76
19710801	813	0
19710901	203	229
19711001	864	1486
19711101	2134	3112
19711201	3886	5765
19720101	6706	7034
19720201	6985	4040
19720301	7315	2782
19720401	7747	3644
19720501	7493	204
19720601	5309	127
19720701	3353	38
19720801	711	0
19720901	483	967
19721001	457	610
19721101	914	1426
19721201	2489	3556
19730101	2616	2363
19730201	2667	940
19730301	3302	2275
19730401	3378	1268
19730501	3150	813
19730601	1626	420
19730701	0	0
19730801	0	3
19730901	0	0
19731001	229	542
19731101	2261	4939
19731201	3759	4340
19740101	5359	4582
19740201	6248	4153
19740301	6985	3489
19740401	7442	3101
19740501	7290	1825
19740601	6223	229
19740701	4013	0
19740801	1676	0
19740901	0	0
19741001	51	115
19741101	1270	2389
19741201	3023	4142
19750101	4801	4889
19750201	5334	3417
19750301	6071	3301
19750401	5944	1497
19750501	5842	838
19750601	4343	241
19750701	2743	0
19750801	0	0
19750901	0	0
19751001	1118	2142
19751101	1981	3365
19751201	2438	2314
19760101	4572	4304
19760201	5410	4050
19760301	6401	3453
19760401	6071	1463
19760501	5258	331
19760601	4191	266
19760701	2642	0
19760801	0	0
19760901	0	0
19761001	406	508
19761101	178	178
19761201	559	870
19770101	838	648
19770201	1499	1551
19770301	3099	4611
19770401	3200	915
19770501	2261	1205
19770601	1880	30
19770701	0	0
19770801	0	0
19770901	102	229
19771001	457	796
19771101	1448	2600
19771201	2540	3033
19780101	3175	2391
19780201	3658	2191
19780301	3861	1072
19780401	4166	1938
19780501	3658	848
19780601	3073	51
19780701	914	0
19780801	0	0
19780901	152	152
19781001	305	294
19781101	914	1463
19781201	2057	2874
19790101	2591	1749
19790201	4293	4773
19790301	4216	818
19790401	4318	2496
19790501	3480	477
19790601	2286	96
19790701	584	271
19790801	0	0
19790901	0	0
19791001	584	1166
19791101	914	1199
19791201	1778	2470
19800101	3505	4320
19800201	3531	1854
19800301	4293	3353
19800401	4547	1436
19800501	3429	400
19800601	2210	158
19800701	0	0
19800801	0	0
19800901	0	0
19801001	25	62
19801101	864	1573
19801201	1956	2032
19810101	1118	648
19810201	2134	2412
19810301	2540	1498
19810401	3861	2807
19810501	2413	394
19810601	1372	312
19810701	51	89
19810801	0	0
19810901	152	205
19811001	229	548
19811101	1016	1908
19811201	2921	4657
19820101	4470	4136
19820201	5182	2603
19820301	5639	2096
19820401	6502	2692
19820501	5436	279
19820601	4013	39
19820701	1092	0
19820801	0	0
19820901	25	33
19821001	533	1243
19821101	10693	3313
19821201	2743	2933
19830101	3429	2819
19830201	4267	2693
19830301	4674	2354
19830401	4877	1051
19830501	4242	1081
19830601	2692	237
19830701	1372	0
19830801	0	0
19830901	76	101
19831001	0	33
19831101	2159	4508
19831201	2921	3033
19840101	3048	1652
19840201	3988	2502
19840301	4420	2349
19840401	5309	2682
19840501	5055	1398
19840601	4216	230
19840701	2438	0
19840801	0	0
19840901	178	178
19841001	737	1652
19841101	2718	3962
19841201	4039	3847
19850101	3759	234
19850201	4318	3189
19850301	5029	3163
19850401	4826	1274
19850501	4216	318
19850601	2794	0
19850701	381	0
19850801	0	0
19850901	25	13
19851001	305	1105
19851101	1651	3026
19851201	1930	1080
19860101	2642	2618
19860201	3454	2249
19860301	3200	1527
19860401	3683	2174
19860501	3632	1131
19860601	2311	25
19860701	127	0
19860801	0	0
19860901	127	223
19861001	76	97
19861101	1727	3126
19861201	2134	1879
19870101	3124	3019
19870201	3531	1921
19870301	4039	2426
19870401	3886	980
19870501	3200	445
19870601	1854	166
19870701	0	0
19870801	0	0
19870901	51	51
19871001	0	0
19871101	914	1523
19880101	2692	2555
19880201	3302	1803
19880301	4750	3632
19880401	4928	2135
19880501	4318	1015
19880601	3048	115
19880701	813	0
19880801	0	0
19880901	0	38
19881001	0	0
19881101	2057	4800
19881201	2667	2527
19890101	4064	4226
19890201	4267	1906
19890301	4953	3632
19890401	5486	1131
19890501	3658	775
19890601	2896	185
19890701	914	0
19890801	0	0
19890901	0	0
19891001	254	439
19891101	940	2133
19891201	660	330
19900101	2489	3266
19900201	5105	5879
19900301	4724	1677
19900401	4013	1702
19900501	3759	697
19900601	3023	407
19900701	1524	0
19900801	0	0
19900901	0	0
19901001	305	938
19901101	1397	2389
19901201	2616	3125
19910101	3556	2490
19910201	3353	1054
19910301	4420	3749
19910401	5639	3708
19910501	4521	687
19910601	3759	257
19910701	2413	0
19910801	0	0
19910901	0	0
19911001	711	1284
19911101	1651	2769
19911201	2337	2431
19920101	3480	2960
19920201	3861	1575
19920301	3353	306
19920401	3302	1271
19920501	2616	89
19920601	787	0
19920701	0	0
19920801	0	0
19920901	25	25
19921001	203	255
19921101	1702	3023
19921201	2997	3849
19930101	3327	2144
19930201	2946	547
19930301	3200	1296
19930401	3835	2264
19930501	3734	241
19930601	1473	330
19930701	102	0
19930801	0	0
19930901	0	0
19931001	0	0
19931101	864	1242
19931201	1702	2123
19940101	2565	2273
19940201	4267	4321
19940301	4445	2618
19940501	3200	281
19940701	457	0
19940801	0	0
19940901	0	0
19941001	787	1501
19941101	3150	5450
19941201	3607	3292
19950101	4267	1831
19950201	4369	1524
19950301	4674	2606
19950401	5004	1905
19950501	4343	267
19950601	2642	203
19950701	610	0
19950801	0	0
19950901	0	0
19951001	76	412
19951101	660	979
19951201	1880	2875
19960201	3454	2329
19960301	3632	1551
19960401	3810	2475
19960501	3505	585
19960601	3023	51
19960701	0	0
19960801	0	0
19960901	0	51
19961001	635	1320
