Year	Month	MXSD	TSNW	TPCP	MNTM
1916	11	178	456	2764	8
1916	12	1041	1600	1954	-16
1917	1	1829	1732	3206	-24
1917	2	1829	889	1543	-14
1917	3	2362	2411	2686	-10
1917	4	2184	406	2296	19
1917	5	1346	25	459	46
1917	6	0	0	1970	93
1917	7	0	0	86	163
1917	8	0	0	0	171
1917	9	0	0	748	123
1917	10	25	25	971	90
1917	11	0	25	1422	56
1917	12	305	710	9581	19
1918	1	762	1002	4672	6
1918	2	914	932	2618	-17
1918	3	1143	494	1321	9
1918	4	584	304	745	52
1918	5	0	76	1168	74
1918	6	0	0	66	147
1918	7	0	0	470	154
1918	8	0	0	921	141
1918	9	0	0	191	161
1918	10	0	0	3047	82
1918	11	406	610	2208	19
1918	12	508	560	3300	-9
1919	1	584	381	4451	-2
1919	2	1219	1294	2019	-2
1919	3	1651	1689	2242	15
1919	4	864	253	1667	39
1919	5	0	102	1133	84
1919	6	0	0	480	113
1919	7	0	0	130	158
1919	8	0	0	143	158
1919	9	0	0	897	125
1919	10	76	177	1836	56
1919	11	178	456	2743	23
1919	12	356	254	2203	-21
1920	1	102	229	3630	3
1920	2	102	216	376	21
1920	3	406	736	2737	18
1920	4	660	1258	2676	23
1920	5	0	51	1020	71
1920	6	0	0	920	110
1920	7	NaN	0	253	168
1920	8	NaN	0	678	167
1920	9	0	0	2875	111
1920	10	76	127	2777	63
